"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","symbols"
"9719","181438_at",0.094509317153899,5.13773570435745,0.944377116683595,0.366780914086118,0.576943353835663,-7.2471968789756,"Cel.23603","C13A2.3"
"9724","181443_at",-0.046856662713421,6.83573605743595,-0.520206485126756,0.614008144879392,0.779351151635133,-7.56928835468264,"Cel.14478","T02H6.9"
"9757","181476_s_at",0.216172843098301,7.69123952948868,2.47225470107104,0.0325190463641495,0.097153495839018,-5.09246895507261,"Cel.22805","npp-5"
"9827","181546_at",0.0764214008483268,4.85305515829873,0.60223605610221,0.560148690866966,0.740655959959389,-7.5203622420508,"Cel.36430","C44E4.7"
"9828","181547_s_at",0.00489192636061286,5.49131708099437,0.039079884669758,0.969580053280738,0.98409483385379,-7.7147835583963,"Cel.36430","C44E4.7"
"9854","181573_at",-0.237519569831354,4.04272317015556,-2.93092398655557,0.0147022674945388,0.0514363386522253,-4.30271803590849,"Cel.14812","K05F1.8"
"9860","181579_at",0.066437086510386,6.88271850429308,0.656273892357302,0.526156461512913,0.715617068934756,-7.48449778583963,"Cel.9798","set-25"
"9926","181645_at",0.108230547126759,4.14817593623653,1.06511506295716,0.311355629672516,0.518849607523066,-7.12628276311939,"Cel.27067","fbxb-18"
"9956","181675_at",0.203670906898084,5.32737700948115,2.02466806455822,0.0698399119328948,0.176488391018359,-5.82804526932754,"Cel.603","R03G5.6"
"10002","181721_at",0.00611797444427076,8.25947950996498,0.0670119369671322,0.947865886159739,0.973333893449103,-7.71316045522178,"Cel.11295","C27C12.1"
"10092","181811_at",0.174867029320544,6.03818757286275,1.57273230585742,0.146219230475515,0.307397332234578,-6.50234853692679,"Cel.24816","ifta-1"
"10100","181819_s_at",-0.61847349079056,8.08876007294428,-5.16218347452319,0.000396144204167529,0.00317715796500898,-0.547981082771027,"Cel.9875","Y37D8A.4"
"10106","181825_at",0.0118172207584477,4.54524596237179,0.103811193725756,0.919329409877691,0.958252460079368,-7.70971893617594,"Cel.26472","F17H10.4"
"10139","181858_s_at",0.187705262632194,8.43787445728387,2.30015916990168,0.0437292399976398,0.122490010332815,-5.38100099264063,"Cel.13355","C42C1.4"
"10146","181865_s_at",0.152417255607482,5.05626384912743,1.6069354042874,0.138510226531441,0.295808370329794,-6.45460777986039,"Cel.36427","hda-4"
"10194","181913_at",-0.0794552052853703,5.65898216558221,-0.873422273679627,0.402501526801125,0.611755813776398,-7.31255897747813,"Cel.9798","set-25"
"10206","181925_at",-0.221076377952984,6.92702044971669,-2.49236956543568,0.0314088860171964,0.0944730186305594,-5.05838373372742,"Cel.8496","Y9C2UA.1"
"10219","181938_at",-0.0821148663480455,5.75604368077204,-0.70465515954242,0.496778380891553,0.693589069279321,-7.44999247348,"Cel.7511","npp-7"
"10273","181992_s_at",0.320715863700466,4.71509157747096,3.56223061147396,0.00499475590110921,0.0218665542303784,-3.2013959278474,"Cel.18378","daf-16"
"10341","182060_at",0.0529712431674616,5.66969933780872,0.486727945399008,0.636726899103987,0.79617254848169,-7.5873093293948,"Cel.5152","dic-1"
"10356","182075_at",0.0826597786731798,3.876664154098,0.915307917029337,0.38113225641826,0.590664929204955,-7.27449873910725,"Cel.25995","tag-272"
"10385","182104_at",-0.0210016773278117,4.12158929718515,-0.261172739335384,0.799150227139861,0.896032695763226,-7.67837282475349,"Cel.16114","ZK1025.3"
"10391","182110_at",0.106270565435343,5.30851881648188,0.804041910665041,0.439685870492846,0.646301939004999,-7.3722006568126,"Cel.10429","F54E7.6"
"10409","182128_at",-1.21282549278161,6.337633518901,-13.8746653639727,5.87384767573346e-08,4.11442116605169e-06,8.83589840536546,"Cel.26573","F23D12.3"
"10456","182175_s_at",0.386233837427353,9.45214110230233,3.72370641577414,0.00381055481480032,0.0177103127947529,-2.92179049111016,"Cel.17093","vps-51"
"10461","182180_at",0.697239982650018,6.57855479208545,6.31060038458999,8.00371283439922e-05,0.00100714128408388,1.15142083972876,"Cel.15638","C50D2.6"
"10517","182236_at",0.0247458199138659,4.91672549470286,0.257586702184094,0.801841477528534,0.897188052627778,-7.6793853672838,"Cel.27634","T08D10.3"
"10623","182342_at",0.106843419110179,4.83401059189789,1.36725816883181,0.200879099879197,0.386109050613103,-6.77523394813747,"Cel.26883","F47F2.2"
"10650","182369_at",0.557023053161049,6.7403786457088,4.85534343323302,0.000626758279672227,0.00442446367475324,-1.0328907834065,"Cel.25631","B0511.2"
"10705","182424_at",0.475768852535557,7.60022211103346,5.39742081285343,0.000281231315489579,0.00248840770940623,-0.184982660871812,"Cel.18601","ccpp-1"
"10712","182431_at",0.0789350202264654,4.32850157371823,0.81058928708897,0.436082028336958,0.643052590179475,-7.36675675193338,"Cel.36609","oac-42"
"10782","182501_at",0.476052097903962,8.00503027228995,5.64191623359022,0.000198624130852659,0.00194805125834161,0.184148029823192,"Cel.13314","C46A5.5"
"10805","182524_s_at",-0.163443268684725,6.60813615799299,-1.46491919107578,0.173035613094968,0.34714395867855,-6.64863062438514,"Cel.6511","C06E2.5"
"10890","182609_at",-0.0478566757530343,5.07134117078021,-0.346629636934411,0.735905041146808,0.86192739845455,-7.65017563649805,"Cel.13644","B0496.6"
"10892","182611_at",-0.0201560524463975,4.38416545716753,-0.183730380118858,0.85782143627764,0.927291447481205,-7.69715592346713,"Cel.28641","srw-109"
"10933","182652_at",0.251267129357316,8.62199039948205,3.18749508840899,0.00944892959514216,0.0362281023708001,-3.85483555232006,"Cel.2943","T19A5.1"
"10948","182667_at",0.00751986623146639,4.59540885270009,0.0828500970496822,0.935572030841485,0.966564339390893,-7.7118607523298,"Cel.4803","srr-6"
"10975","182694_at",0.0163995501228618,4.87587257312445,0.153404046967264,0.881068277107534,0.93878542759527,-7.70274183305914,"Cel.15623","mpz-1"
"11042","182761_at",-0.0053682030951574,5.33515395722011,-0.0556850296674157,0.956667011791637,0.977358942553318,-7.7139216100991,"Cel.27390","R04A9.1"
"11112","182831_at",-0.0250371057180931,4.12205229158404,-0.204956715847842,0.841632990631687,0.91790201994755,-7.69265238613575,"Cel.13168","F08B4.4"
"11154","182873_at",-0.0528344842037551,3.63878208840358,-0.62973203844959,0.542699819524381,0.728613817153517,-7.50246946452254,"Cel.12234","W03B1.1"
"11178","182897_at",0.135844737950736,4.50944406413177,1.05846069152529,0.31423620965174,0.521810063509568,-7.13325381347289,"Cel.28574","ZC190.6"
"11208","182927_at",0.11249207392687,5.28487476621932,1.2573077329521,0.23663152318902,0.431998390967741,-6.91045478295088,"Cel.3197","K01D12.5"
"11210","182929_s_at",0.248737030391697,6.34920960499413,2.93613992670709,0.0145702929292228,0.0510931304283424,-4.29363339889674,"Cel.6340","ZK154.6"
"11219","182938_at",-0.179973405575447,4.55618796228343,-1.6769810497191,0.123840013115186,0.272291574026345,-6.35495840486942,"Cel.25817","srx-8"
"11241","182960_at",1.97221463679508,5.38457953658909,23.6297796767519,2.98916573344121e-10,8.89866772619833e-08,14.2530631194397,"Cel.26898","hlh-13"
"11345","183064_at",-0.07064781031543,8.70447349015542,-0.904962542585258,0.386334473100246,0.595870028897203,-7.28404064768278,"Cel.1205","F17H10.2"
"11361","183080_at",0.154828072526694,8.73903017434523,1.69237549519577,0.120808694104431,0.267393533957419,-6.33273174153551,"Cel.3319","ccz-1"
"11414","183133_at",-0.128589391279823,4.96611876903274,-1.32669241900133,0.213507860364512,0.402972510624641,-6.82605736308797,"Cel.17505","dgk-2"
"11454","183173_at",-0.151147791990759,6.57376425004641,-1.73961860397237,0.111919200705926,0.252359170417738,-6.26381919125863,"Cel.12486","R09H10.2"
"11469","183188_at",-0.0572484715225103,6.0086309743571,-0.628645664306789,0.543383272301508,0.729097766327933,-7.50319045899502,"Cel.27282","K09E2.1"
"11479","183198_at",-0.0572234815009942,5.01084765825443,-0.455349031434478,0.65838496903268,0.811865016538773,-7.60316015889895,"Cel.11160","trk-1"
"11516","183235_at",0.074552607823831,5.35940456595776,0.99035846246458,0.3448807923312,0.55426395272719,-7.20255687363785,"Cel.24102","srt-54"
"11543","183262_at",0.0788979563485466,5.13625244717671,1.04129545153359,0.321759881578551,0.530560988097219,-7.1510737561591,"Cel.9323","unc-46"
"11578","183297_at",0.475798284007299,7.72505741035678,4.61638728500566,0.000904301809923594,0.00585738003135451,-1.41922951810534,"Cel.5820","T26A8.1"
"11696","183415_at",-0.00376608188979022,3.79952333640269,-0.0422790308931954,0.967091391241612,0.98308140031637,-7.71464097853715,"Cel.3198","K01D12.3"
"11700","183419_at",0.150850943212012,10.0514743844625,1.9016287199726,0.0857757418035217,0.206520821358378,-6.02003729738282,"Cel.9469","B0024.13"
"11713","183432_s_at",-0.311626295390131,6.05955612344286,-2.72578855937113,0.0209705257616119,0.0683755793855698,-4.6586114461512,"Cel.6710","K10B4.3"
"11743","183462_at",0.317238211853121,5.20604276749875,3.60047640733198,0.0046834960554059,0.0208140047640068,-3.13502329650413,"Cel.24877","T22E5.3"
"11799","183518_s_at",0.153691432038375,5.80050607345896,1.28108127108013,0.228487802966914,0.422416779059195,-6.8819050905719,"Cel.9300","unc-53"
"11815","183534_at",0.145575078209153,3.75099644413336,1.821357866964,0.0979316219645426,0.227718699583533,-6.14220316872864,"Cel.26037","fbxa-8"
"11837","183556_at",0.330520887926419,5.26258986415229,4.04079830854043,0.00225926218292206,0.0118023105261168,-2.37859077047807,"Cel.25758","sru-21"
"11887","183606_at",0.155472937418334,4.13133695068081,1.29345223782565,0.224341781861827,0.417123378331543,-6.86689589833784,"Cel.36863","lgc-6"
"11903","183622_s_at",0.533306349449555,6.19385085585868,5.67873927594902,0.000188625977384702,0.00188002763803034,0.239020739450987,"Cel.9986","T26A5.2"
"11940","183659_at",0.194079808287867,8.11998799308486,1.88985705414352,0.0874663648564267,0.209654254145212,-6.03811336392161,"Cel.199","rabn-5"
"11955","183674_at",-0.0774484537432558,5.78907522730354,-0.975578711501142,0.351813330153774,0.561496655948726,-7.21709766468224,"Cel.15839","hlh-26"
"12048","183767_at",0.0304284199745881,6.31730500842115,0.263962423381586,0.797058522432839,0.894960251615036,-7.67757558632054,"Cel.7420","M02E1.1"
"12085","183804_at",-0.03254190646435,5.36977030604766,-0.291018512681922,0.77686138790122,0.884338027889385,-7.66941057686075,"Cel.13723","ZK1067.2"
"12086","183805_at",-0.0189640109144324,4.59488643110607,-0.232158951334137,0.821000304072422,0.906900296828364,-7.68616824651782,"Cel.36757","srx-78"
"12132","183851_at",-0.523227785819143,8.25447989124993,-5.35599874246916,0.000298548591722813,0.00260395600914751,-0.248344836095667,"Cel.15578","D2062.7"
"12200","183919_s_at",0.198356168438025,8.48821205309863,2.3334241517265,0.0413028174016856,0.117102286179591,-5.32570102100011,"Cel.5707","evl-14"
"12222","183941_s_at",0.0393149305057428,6.29759740897341,0.494179670946566,0.6316347664759,0.792301191523936,-7.58339691977642,"Cel.7409","F56D3.1"
"12514","184233_at",0.0208541769134616,6.58174986544812,0.166786109294358,0.870794188709092,0.934083738723296,-7.70040015020978,"Cel.28447","acr-24"
"12547","184266_at",0.285135218005567,5.95699118820085,2.99845031147419,0.0130833791155387,0.0470157961386696,-4.18501412842076,"Cel.21727","sta-1"
