ID,symbols,logFC,P.Value
LOC_Os01g68870,LOC_Os01g68870,2.76651,0.00144447
LOC_Os01g69030,LOC_Os01g69030,1.5313,0.00144447
LOC_Os01g69830,LOC_Os01g69830,-0.797818,0.0128631
LOC_Os01g69970,LOC_Os01g69970,-0.768465,0.0025789
LOC_Os01g70710,LOC_Os01g70710,0.690785,0.0224819
LOC_Os01g70730,LOC_Os01g70730,2.72624,0.00144447
LOC_Os01g70860,LOC_Os01g70860,1.34656,0.00144447
LOC_Os01g71230,LOC_Os01g71230,-0.752072,0.0025789
LOC_Os01g71690,LOC_Os01g71690,-0.782163,0.00781053
LOC_Os01g71930,LOC_Os01g71930,0.949721,0.00535638
LOC_Os01g72290,LOC_Os01g72290,1.94062,0.00144447
LOC_Os01g72470,LOC_Os01g72470,-3.55607,0.0176481
LOC_Os01g72630,LOC_Os01g72630,1.61786,0.0263157
LOC_Os01g72780,LOC_Os01g72780,-0.648185,0.0318893
LOC_Os01g72800,LOC_Os01g72800,-0.672829,0.0301367
LOC_Os01g73160,LOC_Os01g73160,-0.718352,0.0025789
LOC_Os01g73550,LOC_Os01g73550,-0.87331,0.0025789
LOC_Os01g73580,LOC_Os01g73580,1.17214,0.0246692
LOC_Os01g74190,LOC_Os01g74190,-0.847413,0.0025789
LOC_Os01g74340,LOC_Os01g74340,-1.10305,0.0025789
LOC_Os01g74480,LOC_Os01g74480,-1.68887,0.0165457
LOC_Os01g74540,LOC_Os01g74540,-0.808231,0.00447556
LOC_Os02g01150,LOC_Os02g01150,0.709991,0.0401884
LOC_Os02g01332,LOC_Os02g01332,-0.934519,0.00144447
LOC_Os02g01350,LOC_Os02g01350,-0.764587,0.00535638
LOC_Os02g01560,LOC_Os02g01560,-0.678362,0.0108632
LOC_Os02g01700,LOC_Os02g01700,1.1843,0.0475095
LOC_Os02g02020,LOC_Os02g02020,-0.643951,0.0188543
LOC_Os02g02130,LOC_Os02g02130,-0.761161,0.00860411
LOC_Os02g02320,LOC_Os02g02320,-0.646283,0.0287714
LOC_Os02g02360,LOC_Os02g02360,-0.753989,0.00535638
LOC_Os02g02400,LOC_Os02g02400,1.98117,0.00144447
LOC_Os02g02850,LOC_Os02g02850,-0.673558,0.0359847
LOC_Os02g02910,LOC_Os02g02910,0.891766,0.0395646
LOC_Os02g03030,LOC_Os02g03030,-0.92907,0.0435347
LOC_Os02g03120,LOC_Os02g03120,-2.12824,0.0025789
LOC_Os02g03260,LOC_Os02g03260,-0.595987,0.0460416
LOC_Os02g03700,LOC_Os02g03700,-0.721831,0.0252889
LOC_Os02g03740,LOC_Os02g03740,-0.82214,0.0499535
LOC_Os02g03890,LOC_Os02g03890,-0.561009,0.0442813
LOC_Os02g04120,LOC_Os02g04120,-1.02452,0.0371932
LOC_Os02g04270,LOC_Os02g04270,-0.822492,0.00144447
LOC_Os02g04500,LOC_Os02g04500,-0.999703,0.0194283
LOC_Os02g04510,LOC_Os02g04510,-1.68357,0.00144447
LOC_Os02g04650,LOC_Os02g04650,-0.668391,0.0350036
LOC_Os02g04660,LOC_Os02g04660,-0.846924,0.00144447
LOC_Os02g04690,LOC_Os02g04690,-1.99827,0.00144447
LOC_Os02g04810,LOC_Os02g04810,2.02439,0.00144447
LOC_Os02g06779,LOC_Os02g06779,1.50037,0.0478225
LOC_Os02g06910,LOC_Os02g06910,1.20636,0.00144447
LOC_Os02g07030,LOC_Os02g07030,8.13029,0.00144447
LOC_Os02g07040,LOC_Os02g07040,1.33055,0.00144447
LOC_Os02g07044,LOC_Os02g07044,2.76078,0.00144447
LOC_Os02g07110,LOC_Os02g07110,1.29777,0.00144447
LOC_Os02g07490,LOC_Os02g07490,-0.73732,0.00936537
LOC_Os02g07900,LOC_Os02g07900,-1.46394,0.0314313
LOC_Os02g08220,LOC_Os02g08220,1.7703,0.00144447
LOC_Os02g08530,LOC_Os02g08530,0.747495,0.0148111
LOC_Os02g09380,LOC_Os02g09380,-0.761498,0.0188543
LOC_Os02g09480,LOC_Os02g09480,-0.808437,0.01995
LOC_Os02g09590,LOC_Os02g09590,-0.724398,0.0495307
LOC_Os02g09630,LOC_Os02g09630,1.0054,0.0401884
LOC_Os02g10220,LOC_Os02g10220,-0.7684,0.00535638
LOC_Os02g10260,LOC_Os02g10260,-0.592556,0.0416717
LOC_Os02g10810,LOC_Os02g10810,-0.597076,0.0388817
LOC_Os02g10920,LOC_Os02g10920,-0.595303,0.0432353
LOC_Os02g11020,LOC_Os02g11020,2.49418,0.00144447
LOC_Os02g12790,LOC_Os02g12790,-0.707677,0.0350036
LOC_Os02g12794,LOC_Os02g12794,-0.645854,0.0148111
LOC_Os02g13310,LOC_Os02g13310,0.779424,0.0153591
LOC_Os02g13530,LOC_Os02g13530,-0.693711,0.0171042
LOC_Os02g13660,LOC_Os02g13660,4.06825,0.00144447
LOC_Os02g13950,LOC_Os02g13950,0.926649,0.00144447
LOC_Os02g14500,LOC_Os02g14500,-0.763605,0.00535638
LOC_Os02g14860,LOC_Os02g14860,-0.627469,0.0376365
LOC_Os02g15520,LOC_Os02g15520,1.07857,0.0482521
LOC_Os02g15540,LOC_Os02g15540,1.66898,0.00144447
LOC_Os02g15640,LOC_Os02g15640,0.961393,0.00144447
LOC_Os02g15690,LOC_Os02g15690,0.718666,0.0176481
LOC_Os02g15950,LOC_Os02g15950,0.836967,0.00936537
LOC_Os02g16030,LOC_Os02g16030,0.974119,0.0204178
LOC_Os02g16909,LOC_Os02g16909,0.828482,0.0209878
LOC_Os02g17760,LOC_Os02g17760,0.879954,0.040559
LOC_Os02g17970,LOC_Os02g17970,1.58855,0.00144447
LOC_Os02g18150,LOC_Os02g18150,0.872767,0.0292265
